MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego
952379351,10010173,4,2023-03-15 15:39:00,8,96,NULL
952379352,10010173,4,2023-03-15 15:40:00,4,93,NULL
952381219,10010173,4,2023-03-15 15:41:00,7,78,NULL
952381222,10010173,4,2023-03-15 15:43:00,5,80,NULL
952373890,10010173,3,2023-03-15 15:34:00,2,106,NULL
952394267,10010173,4,2023-03-15 15:53:00,6,82,NULL
952394270,10010173,5,2023-03-15 15:48:00,2,87,NULL
952392289,10010173,5,2023-03-15 15:51:00,1,104,NULL
952385093,10010173,4,2023-03-15 15:44:00,7,82,NULL
952385094,10010173,6,2023-03-15 15:44:00,1,86,NULL
952385097,10010173,4,2023-03-15 15:45:00,5,80,NULL
952385098,10010173,3,2023-03-15 15:45:00,1,112,NULL
952385100,10010173,4,2023-03-15 15:46:00,9,93,NULL
952385102,10010173,4,2023-03-15 15:47:00,4,92,NULL
952385104,10010173,4,2023-03-15 15:48:00,7,92,NULL
952389696,10010173,4,2023-03-15 15:52:00,5,79,NULL
952389697,10010173,5,2023-03-15 15:52:00,1,72,NULL
952391039,10010173,4,2023-03-15 15:49:00,6,92,NULL
952391041,10010173,4,2023-03-15 15:50:00,8,92,NULL
952391042,10010173,4,2023-03-15 15:51:00,4,85,NULL
952418593,10010173,4,2023-03-15 16:00:00,8,79,NULL
952398361,10010173,5,2023-03-15 15:56:00,1,53,NULL
952398364,10010173,4,2023-03-15 15:59:00,6,95,NULL
952418598,10010173,3,2023-03-15 16:03:00,2,83,NULL
952418600,10010173,3,2023-03-15 16:00:00,1,64,NULL
952418602,10010173,4,2023-03-15 16:01:00,1,82,NULL
952418603,10010173,3,2023-03-15 16:02:00,1,115,NULL
952418604,10010173,4,2023-03-15 16:04:00,2,96,NULL
952398365,10010173,3,2023-03-15 15:59:00,2,94,NULL
952418596,10010173,4,2023-03-15 16:02:00,8,86,NULL
952398352,10010173,4,2023-03-15 15:55:00,6,97,NULL
952398353,10010173,3,2023-03-15 15:55:00,1,127,NULL
952398354,10010173,4,2023-03-15 15:56:00,8,89,NULL
952398357,10010173,4,2023-03-15 15:57:00,3,81,NULL
952398358,10010173,4,2023-03-15 15:58:00,9,87,NULL
952398359,10010173,4,2023-03-15 15:54:00,3,87,NULL
952398360,10010173,5,2023-03-15 15:55:00,1,82,NULL
952418597,10010173,4,2023-03-15 16:03:00,6,73,NULL
952424978,10010173,5,2023-03-15 16:09:00,1,71,NULL
952444109,10010173,4,2023-03-15 16:22:00,9,87,NULL
952444112,10010173,4,2023-03-15 16:20:00,4,76,NULL
952444113,10010173,6,2023-03-15 16:20:00,1,91,NULL
952444114,10010173,3,2023-03-15 16:20:00,1,37,NULL
952444115,10010173,3,2023-03-15 16:22:00,1,104,NULL
952444116,10010173,4,2023-03-15 16:23:00,1,104,NULL
952429508,10010173,4,2023-03-15 16:10:00,12,96,NULL
952430714,10010173,4,2023-03-15 16:11:00,9,91,NULL
952430715,10010173,4,2023-03-15 16:12:00,5,82,NULL
952430716,10010173,4,2023-03-15 16:13:00,3,88,NULL
952431751,10010173,3,2023-03-15 16:09:00,1,99,NULL
952431752,10010173,5,2023-03-15 16:10:00,1,98,NULL
952436266,10010173,4,2023-03-15 16:14:00,3,94,NULL
952436267,10010173,4,2023-03-15 16:15:00,10,84,NULL
952436268,10010173,3,2023-03-15 16:13:00,1,95,NULL
952436270,10010173,5,2023-03-15 16:15:00,1,84,NULL
952436272,10010173,4,2023-03-15 16:17:00,5,90,NULL
952436273,10010173,3,2023-03-15 16:17:00,1,122,NULL
952436274,10010173,4,2023-03-15 16:18:00,4,82,NULL
952436276,10010173,4,2023-03-15 16:16:00,4,86,NULL
952444104,10010173,4,2023-03-15 16:19:00,8,90,NULL
952444107,10010173,4,2023-03-15 16:21:00,10,97,NULL
952424977,10010173,4,2023-03-15 16:09:00,2,78,NULL
952444108,10010173,3,2023-03-15 16:21:00,1,119,NULL
952424965,10010173,4,2023-03-15 16:05:00,1,104,NULL
952424967,10010173,5,2023-03-15 16:05:00,2,96,NULL
952424968,10010173,4,2023-03-15 16:06:00,5,85,NULL
952424969,10010173,3,2023-03-15 16:06:00,1,94,NULL
952424971,10010173,4,2023-03-15 16:07:00,6,92,NULL
952424973,10010173,4,2023-03-15 16:08:00,7,92,NULL
952448424,10010173,4,2023-03-15 16:24:00,3,81,NULL
952448425,10010173,4,2023-03-15 16:25:00,9,86,NULL
952448429,10010173,4,2023-03-15 16:26:00,7,81,NULL
952448431,10010173,3,2023-03-15 16:26:00,1,78,NULL
952448432,10010173,5,2023-03-15 16:26:00,1,80,NULL
952448433,10010173,4,2023-03-15 16:27:00,2,95,NULL
952452848,10010173,4,2023-03-15 16:28:00,2,92,NULL
952461034,10010173,4,2023-03-15 16:41:00,4,84,NULL
952463204,10010173,4,2023-03-15 16:45:00,8,77,NULL
952463206,10010173,3,2023-03-15 16:45:00,1,85,NULL
952463207,10010173,5,2023-03-15 16:45:00,1,48,NULL
952463209,10010173,4,2023-03-15 16:46:00,12,83,NULL
952463211,10010173,4,2023-03-15 16:47:00,4,97,NULL
952463214,10010173,3,2023-03-15 16:47:00,1,85,NULL
952463215,10010173,5,2023-03-15 16:47:00,1,84,NULL
952463217,10010173,4,2023-03-15 16:48:00,10,89,NULL
952463218,10010173,4,2023-03-15 16:49:00,5,88,NULL
952461036,10010173,4,2023-03-15 16:42:00,2,91,NULL
