MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego
893067232,10000028,5,2023-02-10 15:30:00,34,NULL,NULL
893067233,10000028,6,2023-02-10 15:30:00,0,NULL,NULL
893072072,10000028,3,2023-02-10 15:35:00,1,NULL,NULL
893072073,10000028,4,2023-02-10 15:35:00,283,NULL,NULL
893072074,10000028,5,2023-02-10 15:35:00,17,NULL,NULL
893072075,10000028,6,2023-02-10 15:35:00,0,NULL,NULL
893077673,10000028,3,2023-02-10 15:40:00,1,NULL,NULL
893077674,10000028,4,2023-02-10 15:40:00,223,NULL,NULL
893077675,10000028,5,2023-02-10 15:40:00,11,NULL,NULL
893077676,10000028,6,2023-02-10 15:40:00,3,NULL,NULL
893081340,10000028,3,2023-02-10 15:45:00,0,NULL,NULL
893081341,10000028,4,2023-02-10 15:45:00,207,NULL,NULL
893081342,10000028,5,2023-02-10 15:45:00,12,NULL,NULL
893081343,10000028,6,2023-02-10 15:45:00,0,NULL,NULL
893086716,10000028,3,2023-02-10 15:50:00,0,NULL,NULL
893086717,10000028,4,2023-02-10 15:50:00,283,NULL,NULL
893086718,10000028,5,2023-02-10 15:50:00,17,NULL,NULL
893086719,10000028,6,2023-02-10 15:50:00,2,NULL,NULL
893107618,10000028,4,2023-02-10 15:55:00,252,NULL,NULL
893115600,10000028,6,2023-02-10 15:55:00,0,NULL,NULL
893123888,10000028,3,2023-02-10 15:55:00,0,NULL,NULL
893123889,10000028,5,2023-02-10 15:55:00,24,NULL,NULL
893156236,10000028,3,2023-02-10 16:00:00,1,NULL,NULL
893156237,10000028,4,2023-02-10 16:00:00,232,NULL,NULL
893156238,10000028,5,2023-02-10 16:00:00,19,NULL,NULL
893156239,10000028,6,2023-02-10 16:00:00,0,NULL,NULL
893160431,10000028,3,2023-02-10 16:05:00,4,NULL,NULL
893160432,10000028,4,2023-02-10 16:05:00,309,NULL,NULL
893160433,10000028,5,2023-02-10 16:05:00,28,NULL,NULL
893160434,10000028,6,2023-02-10 16:05:00,2,NULL,NULL
893166499,10000028,3,2023-02-10 16:10:00,2,NULL,NULL
893166500,10000028,4,2023-02-10 16:10:00,283,NULL,NULL
893166501,10000028,5,2023-02-10 16:10:00,22,NULL,NULL
893166502,10000028,6,2023-02-10 16:10:00,2,NULL,NULL
893175672,10000028,3,2023-02-10 16:15:00,0,NULL,NULL
893175673,10000028,4,2023-02-10 16:15:00,320,NULL,NULL
893175674,10000028,5,2023-02-10 16:15:00,27,NULL,NULL
893175675,10000028,6,2023-02-10 16:15:00,2,NULL,NULL
893179336,10000028,3,2023-02-10 16:20:00,1,NULL,NULL
893179337,10000028,4,2023-02-10 16:20:00,294,NULL,NULL
893179338,10000028,5,2023-02-10 16:20:00,18,NULL,NULL
893179339,10000028,6,2023-02-10 16:20:00,0,NULL,NULL
893186478,10000028,3,2023-02-10 16:25:00,4,NULL,NULL
893186479,10000028,4,2023-02-10 16:25:00,312,NULL,NULL
893186480,10000028,5,2023-02-10 16:25:00,22,NULL,NULL
893186481,10000028,6,2023-02-10 16:25:00,1,NULL,NULL
893190295,10000028,3,2023-02-10 16:30:00,3,NULL,NULL
893190296,10000028,4,2023-02-10 16:30:00,314,NULL,NULL
893190297,10000028,5,2023-02-10 16:30:00,24,NULL,NULL
893190298,10000028,6,2023-02-10 16:30:00,1,NULL,NULL
893195769,10000028,3,2023-02-10 16:35:00,5,NULL,NULL
893195770,10000028,4,2023-02-10 16:35:00,334,NULL,NULL
893195771,10000028,5,2023-02-10 16:35:00,16,NULL,NULL
893195772,10000028,6,2023-02-10 16:35:00,3,NULL,NULL
893200224,10000028,3,2023-02-10 16:40:00,4,NULL,NULL
893200225,10000028,4,2023-02-10 16:40:00,341,NULL,NULL
893200226,10000028,5,2023-02-10 16:40:00,21,NULL,NULL
893200227,10000028,6,2023-02-10 16:40:00,2,NULL,NULL
893205682,10000028,3,2023-02-10 16:45:00,3,NULL,NULL
893205683,10000028,4,2023-02-10 16:45:00,316,NULL,NULL
893205684,10000028,5,2023-02-10 16:45:00,22,NULL,NULL
893205685,10000028,6,2023-02-10 16:45:00,4,NULL,NULL
893218914,10000028,5,2023-02-10 16:50:00,17,NULL,NULL
893222401,10000028,4,2023-02-10 16:50:00,281,NULL,NULL
893222402,10000028,6,2023-02-10 16:50:00,1,NULL,NULL
893224161,10000028,3,2023-02-10 16:50:00,3,NULL,NULL
893229954,10000028,3,2023-02-10 16:55:00,1,NULL,NULL
893229955,10000028,4,2023-02-10 16:55:00,247,NULL,NULL
893229956,10000028,5,2023-02-10 16:55:00,22,NULL,NULL
893229957,10000028,6,2023-02-10 16:55:00,1,NULL,NULL
893233834,10000028,3,2023-02-10 17:00:00,2,NULL,NULL
893233835,10000028,4,2023-02-10 17:00:00,267,NULL,NULL
893233836,10000028,5,2023-02-10 17:00:00,21,NULL,NULL
893233837,10000028,6,2023-02-10 17:00:00,1,NULL,NULL
893239687,10000028,3,2023-02-10 17:05:00,0,NULL,NULL
893239688,10000028,4,2023-02-10 17:05:00,285,NULL,NULL
893239689,10000028,5,2023-02-10 17:05:00,28,NULL,NULL
893239690,10000028,6,2023-02-10 17:05:00,0,NULL,NULL
893243504,10000028,3,2023-02-10 17:10:00,0,NULL,NULL
893243505,10000028,4,2023-02-10 17:10:00,232,NULL,NULL
893243506,10000028,5,2023-02-10 17:10:00,13,NULL,NULL
893243507,10000028,6,2023-02-10 17:10:00,3,NULL,NULL
893248778,10000028,3,2023-02-10 17:15:00,0,NULL,NULL
893248779,10000028,4,2023-02-10 17:15:00,249,NULL,NULL
893248780,10000028,5,2023-02-10 17:15:00,10,NULL,NULL
893248781,10000028,6,2023-02-10 17:15:00,3,NULL,NULL
893252572,10000028,3,2023-02-10 17:20:00,1,NULL,NULL
893252573,10000028,4,2023-02-10 17:20:00,298,NULL,NULL
893252574,10000028,5,2023-02-10 17:20:00,21,NULL,NULL
893252575,10000028,6,2023-02-10 17:20:00,1,NULL,NULL
893258335,10000028,3,2023-02-10 17:25:00,1,NULL,NULL
893258336,10000028,4,2023-02-10 17:25:00,304,NULL,NULL
893258337,10000028,5,2023-02-10 17:25:00,11,NULL,NULL
893258338,10000028,6,2023-02-10 17:25:00,0,NULL,NULL
