MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego,OriginalTimestamp
943538542,10010173,4,2023-03-10 18:46:00,8,88,NULL,2023-03-10 18:46:00
943538543,10010173,4,2023-03-10 18:47:00,13,90,NULL,2023-03-10 18:47:00
943536949,10010173,5,2023-03-10 18:47:00,1,82,NULL,2023-03-10 18:47:00
943536951,10010173,4,2023-03-10 18:48:00,8,78,NULL,2023-03-10 18:48:00
943541078,10010173,4,2023-03-10 18:49:00,5,87,NULL,2023-03-10 18:49:00
943541082,10010173,5,2023-03-10 18:50:00,1,63,NULL,2023-03-10 18:50:00
943541081,10010173,4,2023-03-10 18:50:00,8,83,NULL,2023-03-10 18:50:00
943541084,10010173,4,2023-03-10 18:51:00,7,89,NULL,2023-03-10 18:51:00
943541085,10010173,4,2023-03-10 18:52:00,9,93,NULL,2023-03-10 18:52:00
943541087,10010173,4,2023-03-10 18:53:00,8,91,NULL,2023-03-10 18:53:00
943553548,10010173,4,2023-03-10 18:54:00,2,113,NULL,2023-03-10 18:54:00
943548589,10010173,4,2023-03-10 18:55:00,11,86,NULL,2023-03-10 18:55:00
943548591,10010173,5,2023-03-10 18:55:00,1,86,NULL,2023-03-10 18:55:00
943546207,10010173,4,2023-03-10 18:56:00,6,78,NULL,2023-03-10 18:56:00
943548592,10010173,4,2023-03-10 18:57:00,8,87,NULL,2023-03-10 18:57:00
943551401,10010173,4,2023-03-10 18:58:00,8,92,NULL,2023-03-10 18:58:00
943553546,10010173,3,2023-03-10 18:59:00,1,122,NULL,2023-03-10 18:59:00
943546206,10010173,4,2023-03-10 18:59:00,8,89,NULL,2023-03-10 18:59:00
943558387,10010173,4,2023-03-10 19:00:00,7,93,NULL,2023-03-10 19:00:00
943558389,10010173,4,2023-03-10 19:01:00,9,91,NULL,2023-03-10 19:01:00
943558390,10010173,4,2023-03-10 19:02:00,10,96,NULL,2023-03-10 19:02:00
943558393,10010173,5,2023-03-10 19:03:00,1,98,NULL,2023-03-10 19:03:00
943558394,10010173,4,2023-03-10 19:03:00,5,99,NULL,2023-03-10 19:03:00
943558401,10010173,4,2023-03-10 19:04:00,7,91,NULL,2023-03-10 19:04:00
943558403,10010173,4,2023-03-10 19:05:00,4,93,NULL,2023-03-10 19:05:00
943560132,10010173,4,2023-03-10 19:06:00,5,86,NULL,2023-03-10 19:06:00
943560133,10010173,6,2023-03-10 19:06:00,1,95,NULL,2023-03-10 19:06:00
943560125,10010173,4,2023-03-10 19:07:00,2,79,NULL,2023-03-10 19:07:00
943560126,10010173,5,2023-03-10 19:07:00,2,81,NULL,2023-03-10 19:07:00
943560130,10010173,4,2023-03-10 19:08:00,1,74,NULL,2023-03-10 19:08:00
943564530,10010173,4,2023-03-10 19:09:00,7,87,NULL,2023-03-10 19:09:00
943564544,10010173,4,2023-03-10 19:10:00,4,88,NULL,2023-03-10 19:10:00
943564532,10010173,4,2023-03-10 19:11:00,8,80,NULL,2023-03-10 19:11:00
